                   10        100       1000       10000
python_sort     0.000000  0.000000  0.000207   0.001188
bubble_sort     0.000000  0.000601  0.057003   6.564872
selection_sort  0.000000  0.000000  0.025780   2.498585
insertion_sort  0.000000  0.000256  0.028952   2.952796
cocktail_sort   0.000000  0.000301  0.046884   5.558782
shell_sort      0.000000  0.001420  0.366132  61.808994
merge_sort      0.000000  0.000000  0.001594   0.026905
quick_sort      0.000000  0.000000  0.001430   0.023880
heap_sort       0.000000  0.000198  0.003164   0.051242
counting_sort   0.000401  0.000834  0.001387   0.003503
bucket_sort     0.000200  0.000200  0.000993   0.007339
radix_sort      0.000000  0.000026  0.002227   0.018114
